0.000000	0.450000	Sound 01
0.870000	1.400000	Sound 02
1.580000	2.300000	Sound 03
2.750000	3.500000	Sound 04
4.110000	4.560000	Sound 05
4.880000	5.610000	Sound 06
6.340000	6.790000	Sound 07
6.740000	7.760000	Sound 08
8.300000	8.910000	Sound 09
9.560000	10.170000	Sound 10
11.220000	11.820000	Sound 11
13.280000	13.700000	Sound 12
14.460000	15.040000	Sound 13
15.150000	15.610000	Sound 14
16.810000	17.220000	Sound 15
17.260000	17.680000	Sound 16
17.840000	18.340000	Sound 17
18.460000	18.890000	Sound 18
19.230000	19.660000	Sound 19
20.340000	20.850000	Sound 20
